reference plan,plan,route,vehicle,order,stop type,active,wait,time,distance,drive time,out of visit time window,out of capacity,out of vehicle time shift,out of work time,maximum achievable distance,status,eta,reference,name,street,detail,postalcode,city,country,lat,lng,comment,phone,tags,reference visit,duration,open 1,close 1,open 2,close 2,priority,tags visit,quantity,operation
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,400,BIA MARA ANVERS,Maalderijstraat 1-5,,2000,ANTWERPEN,,51.22089,4.40053,,,OM,,0:05:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,108492,NH Hotel Arenberg,Rue d'assault 15,,1000,Bruxelles,,50.84848,4.35735,,,,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,20,Dolma,21 rue de vergnies,,1050,Ixelles,,50.829,4.3712799,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,232081,NOORDZEE,Rue Sainte-Catherine 45,,1000,Bruxelles,,50.85028,4.34771,,,OM,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,357715b,OCEAN MAREE,Quai de l' Industrie 214,,1070,Anderlecht,,50.83987,4.32004,,,,,0:30:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,435833,Thyssen Jan/PWC,Boulevard de woluwe 18,,1932,Woluwe-saint-lambert,,50.83806,4.43453,,,,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,459075,PHIL NV,Kabouterstraat 7,,1190,Forest,,50.79997,4.3155599,,,,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,BRG2,TFCO BRG Brugge,Smedenstraat 36,,8000,Brugge,,51.20564,3.21504,Fermé lundi et mardi + Livraison entre 19h et 6h,,TFCO,,0:15:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,SUMY60b,SUMY 1h00,Avenue De Béjar 1AE,,1120,neder over hembeek,,50.911077,4.403484,,,Sumy,,1:00:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,IVECO1,IVECO EPPEGEM,brusselsesteenweg 185,,1980,eppegem,,50.9688299,4.45545,,,,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,OM5,OCEAN MAREE (sales),Quai de l'Industrie 214,,1070,Anderlecht,,50.83987,4.32004,"Pendant la livraison de nuit ,utiliser la clé pour ouvrier ( volet 3 )",,OM,,0:15:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,LINDD,LINDD,Kleemstraat 69,,9041,Oostakker,,51.09705,3.75923,"Code grille : 1215
Code Porte Magasin : 1976",,,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,885805,RSCA tribune 4,Avenue théo vanbeeck 2,,1070,Anderlecht,,50.83496,4.29849,,,,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,SUMY25c,SUMY 25 MIN,Avenue De Béjar 1EA,,1120,neder over hembeek,,50.91106,4.403506,,,"""""",,0:25:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,5006225,Pillows Grand Hotel,Place Roupe 17,,1000,Bruxelles,,50.84243,4.3463,Avant 10h30,,,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,Sumy2h,SUMY 2H,Avenue de béjar 1,,1120,neder over hembeek,,50.911141,4.405019,,,,,2:00:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,357715c,OCEAN MAREE,Quai de l' Industrie 214,,1070,Anderlecht,,50.83987,4.32004,,,,,0:30:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,SUMY15b,SUMY 15 MIN,Avenue De Béjar 1AE,,1120,neder over hembeek,,50.91108,4.403479,,,Sumy,,0:15:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,5007701,DXC Malines,Blarenberglaan 2,,2800,Malines,,51.0537599,4.44797,,,,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,504263b,OTAN/ NATO  PROMARITIMES,Avenue du Bourget,,1130,Bruxelles,,50.877383,4.429926,livraison avant 9h30,,,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,Sumy3H,SUMY 3H,avenue de béjar 1,,1120,neder over hembeek,,50.911073,4.405126,,,,,3:00:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,Sumy1hE,SUMY 1h,Avenue de béjar 1,,1120,neder over hembeek,,50.911107,4.405072,,,,,1:00:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,MCH,TFCO MA Malines,hoogstraat 66,,2800,malines,,51.02265,4.47407,Fermé lundi et mardi  livraison entre 19h et 6h,,TFCO,,0:20:00,,,,,,"TFCO,TFCO",,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,Adria,ADRIA KOMBI,Tivolska cesta 50,,1000,Ljubljana,slovenia,46.05742,14.50523,,,SELIS,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSAND2,Dats Anderlecht,Chaussée de Mons 875,,1070,Anderlecht,,50.828313,4.302198,,,Dats,,0:10:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,SUMY15,SUMY 15 MIN,Avenue De Béjar 1EA,,,,,50.91109,4.403468,,,,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSMAL1,Dats MALINES,Liersesteenweg 351,,2800,Mechelen,,51.0448129,4.477557,,,Dats,,0:10:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,SUMY60e,SUMY 1h00,Avenue De Béjar 1AE,,1120,neder over hembeek,,50.910894,4.403393,,,Sumy,,1:00:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSGOS1,DATS GOSSELIES,,,6041,gosselies,,50.4686,4.43143,,,,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSGRIM2,DATS GRIMBERGEN,Vilvoordsesteenweg 301,,1850,Grimbergen,,50.92705,4.3914,,,Dats,,0:10:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,AGF,AU GRAND FORESTIER,Avenue du Grand Forestier 2,,1170,Bruxelles,,50.80392,4.4288,,,Promaritime,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,ANV,TFCO ANV VOLK,VOLKSTRAAT 8,,2000,ANTWERPEN,,51.21187,4.39655,Livraison entre 19h et 6h,,TFCO,,0:20:00,,,,,,"TFCO,TFCO",,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,AUD,TFCO AUDerghem,Square Jean-Baptiste De Greef 2/4,,1160,Auderghem,,50.82046,4.40897,Livraison entre 19h et 6h,,TFCO,,0:30:00,,,,,,"TFCO,TFCO",,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,AUD1,TFCO AUDerghem,Square Jean-Baptiste De Greef 2/4,,1160,Auderghem,,50.82046,4.40897,,,TFCO,,0:15:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,BDS,Banc des Saveurs,Rue du bois de Linthout 9,,1200,Woluwe-saint-lambert,,50.844216,4.412801,,,,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,Boco,BOCO,Avenue Louise 521,,1000,Bruxelles,,50.81537,4.37178,,02 647 70 54,,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,BRA3,TFCO ANV BRASSCHAT,TFCO ANV BRASSCHAT,,2930,Antwerpen,,51.28758,4.4866,livraison entre 19h-06h,,TFCO,,0:15:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,BRG,TFCO BRG Brugge,Smedenstraat 36,,8000,brugge,,51.20564,3.21504,Fermé lundi et mardi + Livraison entre 19h et 6h,,TFCO,,0:20:00,,,,,,"TFCO,TFCO",,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,CONEX,CONEX,route de lennik 451,,1070,anderlecht,belgium,50.813566,4.300298,,,SELIS,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,Culinor,CULINOR,Houtstraat 46,Destelbergen,9070,Destelbergen,,51.06797,3.81018,,,,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSAAL,Dats Alost,Brusselse steenweg 45,,9300,Aalst,,50.9322299,4.0574899,,,Dats,,0:10:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSAAL1,Dats Alost,Brusselse steenweg 45,,9300,Aalst,,50.9322299,4.0574899,,,Dats,,0:10:00,,,,,,,,
