reference plan,plan,route,vehicle,order,stop type,active,wait,time,distance,drive time,out of visit time window,out of capacity,out of vehicle time shift,out of work time,maximum achievable distance,status,eta,reference,name,street,detail,postalcode,city,country,lat,lng,comment,phone,tags,reference visit,duration,open 1,close 1,open 2,close 2,priority,tags visit,quantity[colis],operation[colis]
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,INL,INLECOM,,"Phoenix House, 24 High St, Wanstead",E11 2AQ,London,England,51.578326,0.025578,,,SELIS,,,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,ISL,ISL,,Universitätsallee 11,28359,Bremen,allemagne,53.10154,8.86641,"53.103856, 8.853666",,SELIS,,,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,ISPCG30A,ISPC G 30 min,Ottergemsesteenweg - Zuid 720,,,,,51.016772,3.735706,,,,,,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,ISPCG30b,ISPC G 30 min,Ottergemsesteenweg - Zuid 720,,,,,51.016772,3.735706,,,,,0:30:00,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,IVECO1,IVECO EPPEGEM,brusselsesteenweg 185,,1980,eppegem,,50.9688299,4.45545,,,,,,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,IvecoEP,IVECO EPPEGEM,brusselsesteenweg 185,,1980,eppegem,,50.9688299,4.45545,,,"""""",,,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,IvecoGB,IVECO GB,Alfons Gossetlaan 28A B3,,1702,Grimbergen,,50.87353,4.27899,,,"""""",,,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,IXL18,TFCO IXL -18°c,Avenue de l'hippodrome 75,,1050,Ixelles,,50.82027,4.37682,Livraison entre 19h et 6h,,TFCO,,0:30:00,,,,,,TFCO,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,IXLvid,TFCO IXL Vidanges,avenue de l'hippodrome 75,,1050,IXELLES,,50.82027,4.37682,,,TFCO,,,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,JET,TFCO JETte,Chaussée de Wemmel 10,,1090,Jette,,50.87324,4.32529,Livraison entre 19h et 6h,,TFCO,,0:20:00,,,,,,"TFCO,TFCO,TFCO",,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,JET2,TFCO JETTE,Chaussée de Wemmel 10,,1090,JETTE,,50.87324,4.32529,Livraison entre 19h et 6h,,TFCO,,0:15:00,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,JETvid,TFCO JET Vidanges,chaussée de wemmel 10,,1090,Jette,,50.87324,4.32529,fermé lundi,,TFCO,,,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,JOS2,JOSEPH 2,Rue du Marteau 29,,1000,Bruxelles,,50.84718,4.37234,,,Promaritime,,,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,KOR1,TFCO KOR,Doorniksewijk 136,,8500,KORTRIJK,,50.81933,3.26903,fermé le lundi  livraison entre 19h - 06h,,TFCO,,0:20:00,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,LEU,TFCO LEUVEN,30 Mechelsestraat,,3000,LEUVEN,,50.88075,4.70009,Fermé dimanche et lundi,,TFCO,,0:30:00,,,,,,"TFCO,TFCO",,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,LEU2,TFCO LEUVEN,30 Mechelsestraat,,3000,LEUVEN,,50.88075,4.70009,fermé dimanche et lundi.,,TFCO,,0:15:00,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,LG,TFCO LIEGE,74 Rue des Guillemins,,4000,liège,,50.628092,5.567225,fermé le lundi,,TFCO,,,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,LH1,TFCO LH Hulpe,Chaussée de Bruxelles 2,,1310,LA Hulpe,,50.73138,4.4809,fermé le lundi.,,TFCO,,0:20:00,,,,,,,,
