reference plan,plan,route,vehicle,order,stop type,active,wait,time,distance,drive time,out of visit time window,out of capacity,out of vehicle time shift,out of work time,maximum achievable distance,status,eta,reference,name,street,detail,postalcode,city,country,lat,lng,comment,phone,tags,reference visit,duration,open 1,close 1,open 2,close 2,priority,tags visit,quantity[colis],operation[colis]
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSMAL1,Dats MALINES,Liersesteenweg 351,,2800,Mechelen,,51.0448129,4.477557,,,Dats,,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,SUMY60e,SUMY 1h00,Avenue De Béjar 1AE,,1120,neder over hembeek,,50.910894,4.403393,,,Sumy,,1:00:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSGOS1,DATS GOSSELIES,,,6041,gosselies,,50.4686,4.43143,,,,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSGRIM2,DATS GRIMBERGEN,Vilvoordsesteenweg 301,,1850,Grimbergen,,50.92705,4.3914,,,Dats,,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,AGF,AU GRAND FORESTIER,Avenue du Grand Forestier 2,,1170,Bruxelles,,50.80392,4.4288,,,Promaritime,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,ANV,TFCO ANV VOLK,VOLKSTRAAT 8,,2000,ANTWERPEN,,51.21187,4.39655,Livraison entre 19h et 6h,,TFCO,,0:20:00,,,,,,"TFCO,TFCO",,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,AUD,TFCO AUD,Square Jean Baptiste De Greef 2,,1160,Auderghem,,50.82046,4.40897,Livraison entre 19h et 6h,,TFCO,,0:30:00,,,,,,"TFCO,TFCO",,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,AUD1,TFCO AUDerghem,Square Jean-Baptiste De Greef 2/4,,1160,Auderghem,,50.82046,4.40897,,,TFCO,,0:15:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,BDS,Banc des Saveurs,Rue du bois de Linthout 9,,1200,Woluwe-saint-lambert,,50.844216,4.412801,,,,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,Boco,BOCO,Avenue Louise 521,,1000,Bruxelles,,50.81537,4.37178,,02 647 70 54,,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,BRA3,TFCO ANV BRASSCHAT,TFCO ANV BRASSCHAT,,2930,Antwerpen,,51.28758,4.4866,livraison entre 19h-06h,,TFCO,,0:15:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,BRG,TFCO BRG Brugge,Smedenstraat 36,,8000,brugge,,51.20564,3.21504,Fermé lundi et mardi + Livraison entre 19h et 6h,,TFCO,,0:20:00,,,,,,"TFCO,TFCO",,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,CONEX,CONEX,route de lennik 451,,1070,anderlecht,belgium,50.813566,4.300298,,,SELIS,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,Culinor,CULINOR,Houtstraat 46,Destelbergen,9070,Destelbergen,,51.06797,3.81018,,,,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSAAL,Dats Alost,Brusselse steenweg 45,,9300,Aalst,,50.9322299,4.0574899,,,Dats,,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSAAL1,Dats Alost,Brusselse steenweg 45,,9300,Aalst,,50.9322299,4.0574899,,,Dats,,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSAND,Dats Anderlecht 2,Chaussée de Mons 875,,1070,Anderlecht,,50.82815,4.30232,,,Dats,,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSANV,Dats Anvers,Vosseschijnstraat 42,,2030,Anvers,,51.25694,4.41659,,,Dats,,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSANV1,Dats Anvers,Vosseschijnstraat 42,,2030,Anvers,,51.25694,4.41659,,,Dats,,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSBRU,Dats Brugge,Bruggestraat 168,,8820,TORHOUT,,51.08252,3.11593,,,Dats,,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSBRU1,Dats Brugge,Bruggestraat 168,,8820,TORHOUT,,51.08252,3.11593,,,"""""",,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSGENT,Dats Gand,Wiedauwkaai 104,,9000,Gand,,51.08638,3.72522,,,,,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSGENT1,Dats Gand,Wiedauwkaai 104,,9000,Gand,,51.08638,3.72522,,,"""""",,0:10:00,,,,,,,,
