reference plan,plan,route,vehicle,order,stop type,active,wait,time,distance,drive time,out of visit time window,out of capacity,out of vehicle time shift,out of work time,maximum achievable distance,status,eta,reference,name,street,detail,postalcode,city,country,lat,lng,comment,phone,tags,reference visit,visit duration,open 1,close 1,open 2,close 2,priority,tags visit,quantity[colis],operation[colis]
,DIMANCHE 24.03,T3V4 JAFFE - MYKHA,,0,store,,,1:00,0,0,,,,,,,,,SUMY,avenue de bejar laan 1EA,,1120,neder over hembeek,,50.911043,4.403273,,,,,,,,,,,,,
,DIMANCHE 24.03,T3V4 JAFFE - MYKHA,,1,visit,1,,2:07,96467.2,4059,,,,,,,,LGG,TFCO LIEGE,74 Rue des Guillemins,,4000,liege,,50.62798,5.56695,,,TFCO,,0:20:00,,,,,,,,
,DIMANCHE 24.03,T3V4 JAFFE - MYKHA,,2,visit,1,,3:38,100671.3,4247,,,,,,,,GP,TFCO GERPINNES,rue neuve 2,,6280,gerpinnes,,50.343653,4.472487,,,TFCO,,,,,,,,,,
,DIMANCHE 24.03,T3V4 JAFFE - MYKHA,,3,visit,1,,4:35,49195.9,2508,,,,,,,,DatsWater,Dats Waterloo,CHAUSSEE DE TUBIZE 489,,1420,Braine-l'Alleud,,50.69076,4.32587,,,Dats,,0:10:00,,,,,,,,
,DIMANCHE 24.03,T3V4 JAFFE - MYKHA,,4,visit,1,,4:56,7051.2,680,,,,,,,,WOO1,TFCO WOO Waterloo,Chaussée de Bruxelles 184,,1410,Waterloo,,50.7206199,4.39757,,,TFCO,,0:15:00,,,,,,,,
,DIMANCHE 24.03,T3V4 JAFFE - MYKHA,,5,visit,1,,5:25,8604.3,858,,,,,,,,UVO,TFCO UVO,Chaussée de Waterloo 1223,,1180,Uccle,,50.7946,4.37342,Livraison entre 19h et 6h,,TFCO,,0:20:00,,,,,,TFCO,,
,DIMANCHE 24.03,T3V4 JAFFE - MYKHA,,6,visit,1,,5:52,3011.4,370,,,,,,,,,TFCO VDK,Rue Vanderkindere 367,,1180,,,50.81422,4.35891,,,,,,,,,,,,,
,DIMANCHE 24.03,T3V4 JAFFE - MYKHA,,7,visit,1,,6:33,21681.3,1588,,,,,,,,SUMY15c,SUMY 15 MIN 3,Avenue De Béjar 1AE,,1120,neder over hembeek,,50.911043,4.403318,,,Sumy,,0:15:00,,,,,,,,
,DIMANCHE 24.03,T3V4 JAFFE - MYKHA,,8,visit,1,,7:22,39842.8,2052,,,,,,,,FARMlln,FARM LLN,Traverse d'Esope,,1348,Ottignies,,50.6689,4.61494,CODE:1254,,FARM,,0:20:00,,,,,,,,
,DIMANCHE 24.03,T3V4 JAFFE - MYKHA,,9,visit,1,,8:15,36328.5,1961,,,,,,,,,FARM MEISER,Avenue Rogier 383,,1030,Bruxelles,,50.85543,4.3951399,Code 1207,,,,0:45:00,,,,,,,,
,DIMANCHE 24.03,T3V4 JAFFE - MYKHA,,10,visit,1,,9:19,18184.3,1138,,,,,,,,DATSGRIM,DATS GRIMBERGEN,Vilvoordsesteenweg 301,,,,,50.92705,4.3914,,,,,,,,,,,,,
,DIMANCHE 24.03,T3V4 JAFFE - MYKHA,,11,store,,,9:44,5148.4,587,,,,,,,,,SUMY,avenue de bejar laan 1EA,,1120,neder over hembeek,,50.911043,4.403273,,,,,,,,,,,,,
